декабрь грудень
январь січень
февраль лютий
март березень
апрель квітень
май травень
июнь червень
июль липень
август серпень
сентябрь вересень
октябрь жовтень
ноябрь листопад
декабря грудня
января січня
февраля лютого
марта березня
апреля квітня
мая травня
июня червня
июля липня
августа серпня
сентября вересня
октября жовтня
ноября листопада
декабре грудні
январе січні
феврале лютому
марте березні
апреле квітні
мае травні
июне червні
июле липні
августе серпні
сентябре вересні
октябре жовтні
ноябре листопаді
понедельник понеділок
вторник вівторок
среда середа
четверг четвер
пятница п'ятниця
суббота субота
воскресенье неділя
понедельника понеділка
вторника вівторка
среды середи
четверга четверга
пятницы п'ятниці
субботы суботи
воскресенья неділі
Понедельнику понеділка
вторнику вівторка
среде середи
четвергу четверга
пятнице п’ятниці
субботе суботи
воскресенью неділі
среду середу
пятницу п'ятницю
субботу суботу
завтра завтра
вчера вчора
сегодня сьогодні
послезавтра післязавтра
позавчера позавчора
вечер вечір
день день
утро ранок
ночь ніч
вечером ввечері
днем вдень
утром зранку
ночью вночі
завтрашний завтрашній
сегодняшний сьогоднішній
вчерашний вчорашній
полдень опівдні
полночь опівночі
